Tokenizer file opened successfully.
Max token length: 30
Loaded token 0:  (score: 0.000000)
Loaded token 1:  (score: 1.000000)
Loaded token 2:  (score: 2.000000)
Loaded token 3:  (score: 3.000000)
Loaded token 4:  (score: 4.000000)
Loaded token 5:  (score: 5.000000)
Loaded token 6:  (score: 6.000000)
Loaded token 7:  (score: 7.000000)
Loaded token 8:  (score: 8.000000)
Loaded token 9: 	 (score: 9.000000)
Loaded token 10: 
 (score: 10.000000)
Loaded token 11:  (score: 11.000000)
Loaded token 12:  (score: 12.000000)
Loaded token 13: 
 (score: 13.000000)
Loaded token 14:  (score: 14.000000)
Loaded token 15:  (score: 15.000000)
Loaded token 16:  (score: 16.000000)
Loaded token 17:  (score: 17.000000)
Loaded token 18:  (score: 18.000000)
Loaded token 19:  (score: 19.000000)
Loaded token 20:  (score: 20.000000)
Loaded token 21:  (score: 21.000000)
Loaded token 22:  (score: 22.000000)
Loaded token 23:  (score: 23.000000)
Loaded token 24:  (score: 24.000000)
Loaded token 25:  (score: 25.000000)
Loaded token 26:  (score: 26.000000)
Loaded token 27:  (score: 27.000000)
Loaded token 28:  (score: 28.000000)
Loaded token 29:  (score: 29.000000)
Loaded token 30:  (score: 30.000000)
Loaded token 31:  (score: 31.000000)
Loaded token 32:   (score: 32.000000)
Loaded token 33: ! (score: 33.000000)
Loaded token 34: " (score: 34.000000)
Loaded token 35: # (score: 35.000000)
Loaded token 36: $ (score: 36.000000)
Loaded token 37: % (score: 37.000000)
Loaded token 38: & (score: 38.000000)
Loaded token 39: ' (score: 39.000000)
Loaded token 40: ( (score: 40.000000)
Loaded token 41: ) (score: 41.000000)
Loaded token 42: * (score: 42.000000)
Loaded token 43: + (score: 43.000000)
Loaded token 44: , (score: 44.000000)
Loaded token 45: - (score: 45.000000)
Loaded token 46: . (score: 46.000000)
Loaded token 47: / (score: 47.000000)
Loaded token 48: 0 (score: 48.000000)
Loaded token 49: 1 (score: 49.000000)
Loaded token 50: 2 (score: 50.000000)
Loaded token 51: 3 (score: 51.000000)
Loaded token 52: 4 (score: 52.000000)
Loaded token 53: 5 (score: 53.000000)
Loaded token 54: 6 (score: 54.000000)
Loaded token 55: 7 (score: 55.000000)
Loaded token 56: 8 (score: 56.000000)
Loaded token 57: 9 (score: 57.000000)
Loaded token 58: : (score: 58.000000)
Loaded token 59: ; (score: 59.000000)
Loaded token 60: < (score: 60.000000)
Loaded token 61: = (score: 61.000000)
Loaded token 62: > (score: 62.000000)
Loaded token 63: ? (score: 63.000000)
Loaded token 64: @ (score: 64.000000)
Loaded token 65: A (score: 65.000000)
Loaded token 66: B (score: 66.000000)
Loaded token 67: C (score: 67.000000)
Loaded token 68: D (score: 68.000000)
Loaded token 69: E (score: 69.000000)
Loaded token 70: F (score: 70.000000)
Loaded token 71: G (score: 71.000000)
Loaded token 72: H (score: 72.000000)
Loaded token 73: I (score: 73.000000)
Loaded token 74: J (score: 74.000000)
Loaded token 75: K (score: 75.000000)
Loaded token 76: L (score: 76.000000)
Loaded token 77: M (score: 77.000000)
Loaded token 78: N (score: 78.000000)
Loaded token 79: O (score: 79.000000)
Loaded token 80: P (score: 80.000000)
Loaded token 81: Q (score: 81.000000)
Loaded token 82: R (score: 82.000000)
Loaded token 83: S (score: 83.000000)
Loaded token 84: T (score: 84.000000)
Loaded token 85: U (score: 85.000000)
Loaded token 86: V (score: 86.000000)
Loaded token 87: W (score: 87.000000)
Loaded token 88: X (score: 88.000000)
Loaded token 89: Y (score: 89.000000)
Loaded token 90: Z (score: 90.000000)
Loaded token 91: [ (score: 91.000000)
Loaded token 92: \ (score: 92.000000)
Loaded token 93: ] (score: 93.000000)
Loaded token 94: ^ (score: 94.000000)
Loaded token 95: _ (score: 95.000000)
Loaded token 96: ` (score: 96.000000)
Loaded token 97: a (score: 97.000000)
Loaded token 98: b (score: 98.000000)
Loaded token 99: c (score: 99.000000)
Loaded token 100: d (score: 100.000000)
Loaded token 101: e (score: 101.000000)
Loaded token 102: f (score: 102.000000)
Loaded token 103: g (score: 103.000000)
Loaded token 104: h (score: 104.000000)
Loaded token 105: i (score: 105.000000)
Loaded token 106: j (score: 106.000000)
Loaded token 107: k (score: 107.000000)
Loaded token 108: l (score: 108.000000)
Loaded token 109: m (score: 109.000000)
Loaded token 110: n (score: 110.000000)
Loaded token 111: o (score: 111.000000)
Loaded token 112: p (score: 112.000000)
Loaded token 113: q (score: 113.000000)
Loaded token 114: r (score: 114.000000)
Loaded token 115: s (score: 115.000000)
Loaded token 116: t (score: 116.000000)
Loaded token 117: u (score: 117.000000)
Loaded token 118: v (score: 118.000000)
Loaded token 119: w (score: 119.000000)
Loaded token 120: x (score: 120.000000)
Loaded token 121: y (score: 121.000000)
Loaded token 122: z (score: 122.000000)
Loaded token 123: { (score: 123.000000)
Loaded token 124: | (score: 124.000000)
Loaded token 125: } (score: 125.000000)
Loaded token 126: ~ (score: 126.000000)
Loaded token 127:  (score: 127.000000)
Loaded token 128:  (score: 128.000000)
Loaded token 129:  (score: 129.000000)
Loaded token 130:  (score: 130.000000)
Loaded token 131:  (score: 131.000000)
Loaded token 132:  (score: 132.000000)
Loaded token 133:  (score: 133.000000)
Loaded token 134:  (score: 134.000000)
Loaded token 135:  (score: 135.000000)
Loaded token 136:  (score: 136.000000)
Loaded token 137:  (score: 137.000000)
Loaded token 138:  (score: 138.000000)
Loaded token 139:  (score: 139.000000)
Loaded token 140:  (score: 140.000000)
Loaded token 141:  (score: 141.000000)
Loaded token 142:  (score: 142.000000)
Loaded token 143:  (score: 143.000000)
Loaded token 144:  (score: 144.000000)
Loaded token 145:  (score: 145.000000)
Loaded token 146:  (score: 146.000000)
Loaded token 147:  (score: 147.000000)
Loaded token 148:  (score: 148.000000)
Loaded token 149:  (score: 149.000000)
Loaded token 150:  (score: 150.000000)
Loaded token 151:  (score: 151.000000)
Loaded token 152:  (score: 152.000000)
Loaded token 153:  (score: 153.000000)
Loaded token 154:  (score: 154.000000)
Loaded token 155:  (score: 155.000000)
Loaded token 156:  (score: 156.000000)
Loaded token 157:  (score: 157.000000)
Loaded token 158:  (score: 158.000000)
Loaded token 159:  (score: 159.000000)
Loaded token 160:   (score: 160.000000)
Loaded token 161: ¡ (score: 161.000000)
Loaded token 162: ¢ (score: 162.000000)
Loaded token 163: £ (score: 163.000000)
Loaded token 164: € (score: 164.000000)
Loaded token 165: ¥ (score: 165.000000)
Loaded token 166: Š (score: 166.000000)
Loaded token 167: § (score: 167.000000)
Loaded token 168: š (score: 168.000000)
Loaded token 169: © (score: 169.000000)
Loaded token 170: ª (score: 170.000000)
Loaded token 171: « (score: 171.000000)
Loaded token 172: ¬ (score: 172.000000)
Loaded token 173: ­ (score: 173.000000)
Loaded token 174: ® (score: 174.000000)
Loaded token 175: ¯ (score: 175.000000)
Loaded token 176: ° (score: 176.000000)
Loaded token 177: ± (score: 177.000000)
Loaded token 178: ² (score: 178.000000)
Loaded token 179: ³ (score: 179.000000)
Loaded token 180: Ž (score: 180.000000)
Loaded token 181: µ (score: 181.000000)
Loaded token 182: ¶ (score: 182.000000)
Loaded token 183: · (score: 183.000000)
Loaded token 184: ž (score: 184.000000)
Loaded token 185: ¹ (score: 185.000000)
Loaded token 186: º (score: 186.000000)
Loaded token 187: » (score: 187.000000)
